line_id,po_number,vendor_id,material_id,plant,date,quantity,unit_price,net_value
L00001,45100000,V05,M03,Plant 1010,2026-05-15,276,3.54,977.04
L00002,45100000,V02,M06,Plant 1010,2026-02-26,85,8.0,680.0
L00003,45100001,V02,M04,Plant 1000,2026-07-02,57,32.42,1847.94
L00004,45100001,V06,M02,Plant 1010,2026-05-28,148,11.65,1724.2
L00005,45100001,V02,M01,Plant 1000,2026-03-20,232,8.72,2023.04
L00006,45100002,V01,M02,Plant 1010,2026-04-09,89,48.24,4293.36
L00007,45100002,V03,M02,Plant 1020,2026-07-01,109,11.63,1267.67
L00008,45100002,V02,M04,Plant 1000,2026-04-30,16,21.14,338.24
L00009,45100003,V02,M03,Plant 1020,2026-03-01,174,17.97,3126.78
L00010,45100003,V05,M01,Plant 1010,2026-07-15,178,5.5,979.0
L00011,45100003,V03,M04,Plant 1010,2026-08-10,166,11.79,1957.14
L00012,45100004,V06,M02,Plant 1000,2026-02-27,136,53.68,7300.48
L00013,45100004,V06,M03,Plant 1010,2026-05-27,14,31.1,435.4
L00014,45100004,V03,M04,Plant 1020,2026-07-11,9,26.0,234.0
L00015,45100005,V02,M05,Plant 1010,2026-04-04,65,42.05,2733.25
L00016,45100005,V03,M05,Plant 1010,2026-05-14,273,15.3,4176.9
L00017,45100005,V01,M05,Plant 1000,2026-05-18,156,3.94,614.64
L00018,45100006,V02,M03,Plant 1010,2026-06-24,190,50.66,9625.4
L00019,45100006,V03,M06,Plant 1010,2026-07-02,52,18.56,965.12
L00020,45100006,V03,M02,Plant 1010,2026-03-05,81,40.22,3257.82
L00021,45100007,V04,M02,Plant 1020,2026-02-25,46,54.3,2497.8
L00022,45100007,V04,M01,Plant 1010,2026-04-14,181,45.79,8287.99
L00023,45100007,V06,M04,Plant 1020,2026-03-22,33,53.89,1778.37
L00024,45100008,V01,M04,Plant 1020,2026-05-09,111,8.92,990.12
L00025,45100008,V05,M02,Plant 1010,2026-07-24,216,7.65,1652.4
L00026,45100008,V03,M02,Plant 1010,2026-02-28,220,17.63,3878.6
L00027,45100009,V05,M02,Plant 1020,2026-06-26,237,52.89,12534.93
L00028,45100009,V06,M03,Plant 1010,2026-06-15,145,17.42,2525.9
L00029,45100009,V02,M01,Plant 1020,2026-05-20,277,52.87,14644.99
L00030,45100010,V04,M03,Plant 1020,2026-03-31,50,28.07,1403.5
L00031,45100010,V05,M05,Plant 1010,2026-05-16,37,43.66,1615.42
L00032,45100010,V06,M05,Plant 1010,2026-08-01,22,42.26,929.72
L00033,45100011,V05,M06,Plant 1010,2026-08-03,148,46.27,6847.96
L00034,45100011,V06,M06,Plant 1020,2026-04-29,179,36.43,6520.97
L00035,45100011,V01,M04,Plant 1010,2026-07-03,133,19.27,2562.91
L00036,45100012,V04,M03,Plant 1020,2026-06-21,187,20.44,3822.28
L00037,45100012,V03,M06,Plant 1000,2026-05-28,184,50.88,9361.92
L00038,45100012,V06,M04,Plant 1020,2026-05-17,176,29.46,5184.96
L00039,45100013,V02,M02,Plant 1000,2026-05-16,249,16.99,4230.51
L00040,45100013,V06,M06,Plant 1020,2026-05-30,92,34.69,3191.48
L00041,45100013,V05,M06,Plant 1020,2026-05-31,159,35.06,5574.54
